事業所,事業所名 ,
1001,泉北店,
1002,第二阪和鳳店,
1004,羽曳野店,
1005,金岡蔵前店,
1006,玉津インター店,
1008,茨木店,
1012,一宮店,
1013,リックス店,
1017,泉大津店,
1020,伊丹店,
1022,大和郡山店,
1024,狭山店,
1027,王寺店,
1028,生野店,
1032,富田林店,
1033,岸和田三田店,
1034,大野芝店,
1035,長吉長原店,
1036,高槻店,
1037,高石富木店,
1038,八尾楠根店,
1039,羽曳野伊賀店,
1040,川西西多田店,
1041,今宿店,
1043,門真殿島店,
1044,三条大路店,
1046,刈谷井ヶ谷店,
1048,外環八尾山本店,
1049,中環蛍池店,
1050,宝ヶ池１号館,
1052,灘大石川店,
1053,南植松店,
1055,宝ヶ池上高野店,
1056,茨木安威店,
1057,豊中庄本店,
1058,松原市役所前店,
1059,寝屋川仁和寺店,
1060,生駒店,
1061,伏見大手筋店,
1063,亀岡大井店,
1064,名港木場店,
1065,豊中夕日丘店,
1066,魚崎店,
1067,熱田四番町店,
1068,千里山田店,
1069,谷上駅前店,
1070,都島店,
1071,ジェームス山店,
1072,吹田インター青葉丘店,
1074,東三国店,
1075,平野瓜破店,
1076,東大阪菱江店,
1078,南津守店,
1080,和泉中央店,
1081,茄子作南店,
1083,学園前登美ヶ丘店,
1084,内環放出東店,
1085,東淀川菅原店,
1087,日進店,
1089,ハーバーランド店,
1100,りんくう羽倉崎店,
1101,関目店,
1103,藤原台店,
1106,向日町大原野店,
1107,大和高田店,
1109,魚住店,
1112,門真大橋店,
1113,御幣島店,
1114,和歌山店,
1115,一宮今伊勢店,
1116,福島大開店,
1117,布施駅前店,
1118,枚方野村店,
1119,弁天町店,
1120,堺三国ヶ丘店,
1121,橿原香久山店,
1122,高槻上牧店,
1123,六地蔵店,
1124,川西久代店,
1125,武庫川店,
1127,八幡一ノ坪店,
1128,西陣上七軒店,
1130,木津店,
1131,京田辺店,
1133,箕面今宮店,
1135,丹波ゆめタウン店,
1136,片町店,
1137,香芝旭ヶ丘店,
1138,養父店,
1140,大正千島店,
1141,寝屋川昭栄店,
1142,東出雲店,
1144,天王寺店,
1145,くいな橋店,
1146,知多東浦店,
1147,尼崎道意町店,
1148,洲本店,
1149,倉敷北浜店,
1150,杭瀬店,
1151,保土ヶ谷星川店,
1152,高槻城西店,
1153,本羽田萩中店,
1154,宇品店,
1155,ＪＲ中山寺駅前店,
1156,平野加美北店,
1157,米子河崎店,
1158,精華台店,
1159,東寝屋川店,
1166,ＪＲ今宮駅前店,
1167,御坊インター店,
1168,めいのはま店,
1169,三津浜店,
1170,港北ニュータウン店,
1171,名谷店,
1172,小野田インター店,
1173,吉野大淀店,
1175,海南店,
1178,大塔店,
1180,鎌倉大船店,
1182,白鳥店,
1183,西宮今津店,
1184,市川原木店,
1186,ＪＲ宇治駅北店,
1187,神辺店,
1189,和歌山中之島店,
1201,フレスポ東大阪稲田店,
1202,篠山店,
1203,相模原西橋本店,
1204,小牧店,
1205,江東深川店,
1206,箕島店,
1207,草津店,
1208,砂田橋店,
1209,外環新石切店,
1211,小束山店,
1212,相模原小山店,
1214,中野東店,
1215,徳島藍住店,
1216,稲沢ハーモニーランド店,
1217,新大阪センイシティー店,
1218,摂津鳥飼西店,
1219,ぐりーんうぉーく多摩店,
1220,西九条春日出店,
1221,中もず店,
1222,南十番町店,
1223,西宮今津2号館,
1224,岸和田ベイサイド店,
1225,貝塚東山店,
1226,徳島小松島店,
1227,港北センター南店,
1228,中央林間店,
1229,箕面萱野店,
1230,亀岡篠店,
1231,小平店,
1232,廿日市陽光台店,
1233,大和郡山筒井店,
1234,堺店,
1235,豊中島江店,
1236,湘南藤沢店,
1237,広島祗園店,
1238,綾川店,
1239,福知山店,
1240,かどの四条外大前店,
1241,阿南中島店,
1242,連島店,
